type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Daniel Olmo Carvajal,9a50295b-7f7a-449c-9ef3-87e60467e8e1,00:00:00.773,"[61.0, 40.1]","[57.0, 40.8]",4.060788,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,Benjamin Henrichs,6c4c62f2-7d95-4094-a714-50c0161ee2e6,00:00:01.607,"[56.2, 40.8]","[55.0, 74.2]",33.42155,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,88661240-834a-430d-8629-b37b64dbcddc,00:00:04.859,"[56.4, 74.4]","[37.8, 66.5]",20.208166,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Willi Orban,1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,00:00:08.123,"[35.8, 64.7]","[33.1, 38.4]",26.43823,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Mohamed Simakan,585a8685-12a2-418f-91a6-4d2a02ad8430,00:00:12.373,"[36.0, 36.4]","[35.8, 60.1]",23.700844,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,93753357-15d4-4424-9899-669adf6f34ea,00:00:14.246,"[35.1, 60.1]","[48.4, 73.4]",18.80904,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Daniel Olmo Carvajal,86a2db30-3020-4a3a-af2f-3b1d59b73adc,00:00:17.808,"[58.0, 75.8]","[79.9, 53.9]",30.971277,
Pass,RB Leipzig,Odilon Kossonou,Right Center Back,27133.0,Edmond Fayçal Tapsoba,a6f33202-5449-458f-8473-9c4274528e11,00:00:20.033,"[36.5, 29.6]","[35.1, 16.6]",13.075168,Incomplete
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Daniel Olmo Carvajal,ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,00:00:21.691,"[85.0, 63.5]","[83.4, 46.2]",17.37383,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,David Raum,bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,00:00:23.488,"[84.0, 44.4]","[82.4, 21.3]",23.155344,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Ikoma Loïs Openda,da6d72e8-314a-4232-892f-7f2b7aa233da,00:00:25.482,"[83.0, 14.5]","[105.9, 16.5]",22.987171,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Timo Werner,87666b3c-fae0-4ec8-a71d-c2d3be7beb84,00:00:46.278,"[113.5, 0.1]","[95.4, 5.3]",18.832153,
Pass,RB Leipzig,Timo Werner,Left Midfield,5557.0,Willi Orban,8d0349fb-568c-440c-9069-42adbf1f9c3a,00:00:48.545,"[96.0, 6.3]","[64.3, 9.5]",31.861105,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Mohamed Simakan,6a0f8b8e-4e1b-42ee-b523-30b9a57b096e,00:00:51.927,"[54.6, 11.7]","[53.8, 41.8]",30.11063,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Xavi Simons,d626a450-651a-452f-8bd2-40bd73e5570f,00:00:54.430,"[54.6, 46.2]","[62.3, 66.9]",22.085743,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Benjamin Henrichs,842b2425-b726-4944-88b7-6e59c5144f28,00:00:56.798,"[64.1, 66.5]","[74.3, 75.0]",13.277425,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,65416e96-ab82-45f6-83ec-f23beb6e7403,00:01:12.416,"[63.9, 75.4]","[47.8, 71.7]",16.519686,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,7c9e8cf2-07c3-471b-8da6-681419a22208,00:01:15.803,"[43.0, 70.5]","[23.3, 45.4]",31.907679,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Mohamed Simakan,e8cfafef-37c7-4e00-be7f-4bee056a1e72,00:01:21.130,"[19.9, 39.6]","[20.1, 58.5]",18.901058,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,c5a4b0aa-b03e-4e82-a80a-ea91e7ecf394,00:01:23.103,"[19.5, 60.1]","[29.5, 76.2]",18.952837,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Nicolas Seiwald,5f38e18f-86ae-43b3-a606-39c39db57cee,00:01:25.206,"[29.5, 76.4]","[34.1, 64.5]",12.758135,
Pass,RB Leipzig,Nicolas Seiwald,Right Defensive Midfield,39460.0,Mohamed Simakan,c241d9b6-58dd-4ea2-8b5e-16e7aef4e822,00:01:26.187,"[35.8, 63.5]","[14.3, 64.7]",21.533463,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,0376753a-5e29-4cd4-a4d7-008663a3ef13,00:01:28.443,"[13.5, 60.7]","[7.0, 41.6]",20.175728,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Willi Orban,e9349458-19c1-433d-a74b-514a898592ca,00:01:30.893,"[9.0, 38.8]","[7.6, 12.3]",26.536955,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,edee64bb-b610-4ca3-ae10-9c2b105e12c6,00:01:33.218,"[8.0, 9.7]","[14.9, 6.7]",7.5239615,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Timo Werner,bd1d1124-a984-42f1-b66b-28b07f32153e,00:01:34.685,"[14.1, 6.1]","[20.5, 5.5]",6.4280634,Incomplete
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,72e045c1-5699-46b1-b609-47e88ca8b9c6,00:01:45.676,"[28.3, 0.1]","[7.8, 13.1]",24.274471,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Xaver Schlager,a08bd5e4-b884-40a9-99e7-2e6ec11c9468,00:01:49.050,"[5.4, 14.7]","[21.9, 20.7]",17.55705,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,David Raum,5ba62c14-0531-4810-8b10-81c900dabc24,00:02:07.325,"[8.4, 48.6]","[30.9, 25.9]",31.96154,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Xaver Schlager,4720aca0-dc33-4b91-bf79-28e5d02a9823,00:02:16.379,"[35.6, 9.5]","[36.2, 17.5]",8.022469,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Willi Orban,d5d8d151-674a-421d-8a54-7f334aa9777f,00:02:30.801,"[22.7, 21.5]","[9.2, 25.5]",14.080128,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,67ca4c48-ec9b-4c45-9485-ae00f0ffa467,00:02:33.678,"[3.6, 27.6]","[10.0, 8.7]",19.954197,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Timo Werner,d4d24445-4bb1-4715-80a1-3c1353151ad2,00:02:57.676,"[13.7, 0.1]","[21.3, 10.5]",12.880994,
Pass,RB Leipzig,Jeremie Frimpong,Right Wing Back,32712.0,Florian Wirtz,a03fb700-b6fc-41b3-8cc3-cc8d0ab25b50,00:03:02.452,"[101.6, 71.8]","[106.2, 68.4]",5.72014,
