,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,1,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9790a466-9c56-42aa-96aa-a9ad1a6f8811,2,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15155, 'name': 'Janis Blaswich'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 8211, 'name': 'Benjamin Henrichs'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 39}, {'player': {'id': 30360, 'name': 'Mohamed Simakan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 16275, 'name': 'Ikoma Loïs Openda'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",RB Leipzig,182,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['ba22283a-c920-448c-804e-3737cccd9fff'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba22283a-c920-448c-804e-3737cccd9fff,4,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['c6762724-3ad0-4ed1-b232-7f32ac192ec6'],0,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,0.321221,,,,,,,,,,,,9a50295b-7f7a-449c-9ef3-87e60467e8e1,5,,,"[61.0, 40.1]",3895052,0,True,,,2.968347,,Right Foot,,,"[57.0, 40.8]",,Ground Pass,,4.060788,,,,,Daniel Olmo Carvajal,16532.0,,,,,Kick Off,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,['17c0df03-219a-4603-befe-8cd2f58d6d47'],0,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.773,Pass,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17c0df03-219a-4603-befe-8cd2f58d6d47,6,,,"[57.0, 40.8]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['9a50295b-7f7a-449c-9ef3-87e60467e8e1'],1,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.095,Ball Receipt*,
7,,,,,,,,,,,,,,,,,,1.984711,,,,,,,,,,,,6c4c62f2-7d95-4094-a714-50c0161ee2e6,7,,,"[56.2, 40.8]",3895052,0,,,,1.606709,,Right Foot,,,"[55.0, 74.2]",,Ground Pass,,33.42155,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['15bf07b2-c5b7-4074-8693-1d9e4a5b7153'],1,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.607,Pass,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15bf07b2-c5b7-4074-8693-1d9e4a5b7153,8,,,"[55.0, 74.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['6c4c62f2-7d95-4094-a714-50c0161ee2e6'],3,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:03.591,Ball Receipt*,
2106,,,,,,"[56.4, 74.4]",,,,,,,,,,,,1.26738,,,,,,,,,,,,3c689040-9b59-4fad-8456-48b2ec8a2058,9,,,"[55.0, 74.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,"['15bf07b2-c5b7-4074-8693-1d9e4a5b7153', '88661240-834a-430d-8629-b37b64dbcddc']",3,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:03.591,Carry,
8,,,,,,,,,,,,,,,,,,2.0595,,,,,,,,,,,,88661240-834a-430d-8629-b37b64dbcddc,10,,,"[56.4, 74.4]",3895052,0,,,,-2.7399497,,Right Foot,,,"[37.8, 66.5]",,Ground Pass,,20.208166,,,,,Mohamed Simakan,30360.0,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['98e575e4-0886-40e5-96a8-9c9f857ebcc1'],4,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:04.859,Pass,
