type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Starting XI,Bayer Leverkusen,,,,,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,00:00:00.000,,,,
Starting XI,Bayer Leverkusen,,,,,9790a466-9c56-42aa-96aa-a9ad1a6f8811,00:00:00.000,,,,
Half Start,Bayer Leverkusen,,,,,c6762724-3ad0-4ed1-b232-7f32ac192ec6,00:00:00.000,,,,
Half Start,Bayer Leverkusen,,,,,ba22283a-c920-448c-804e-3737cccd9fff,00:00:00.000,,,,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Daniel Olmo Carvajal,9a50295b-7f7a-449c-9ef3-87e60467e8e1,00:00:00.773,"[61.0, 40.1]","[57.0, 40.8]",4.060788,
Ball Receipt*,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,17c0df03-219a-4603-befe-8cd2f58d6d47,00:00:01.095,"[57.0, 40.8]",,,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,Benjamin Henrichs,6c4c62f2-7d95-4094-a714-50c0161ee2e6,00:00:01.607,"[56.2, 40.8]","[55.0, 74.2]",33.42155,
Ball Receipt*,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,15bf07b2-c5b7-4074-8693-1d9e4a5b7153,00:00:03.591,"[55.0, 74.2]",,,
Carry,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,3c689040-9b59-4fad-8456-48b2ec8a2058,00:00:03.591,"[55.0, 74.2]",,,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,88661240-834a-430d-8629-b37b64dbcddc,00:00:04.859,"[56.4, 74.4]","[37.8, 66.5]",20.208166,
Ball Receipt*,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,98e575e4-0886-40e5-96a8-9c9f857ebcc1,00:00:06.918,"[37.8, 66.5]",,,
Carry,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,f019df08-0da5-48d9-a838-1da35f369c3c,00:00:06.918,"[37.8, 66.5]",,,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Willi Orban,1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,00:00:08.123,"[35.8, 64.7]","[33.1, 38.4]",26.43823,
Ball Receipt*,RB Leipzig,Willi Orban,Left Center Back,8509.0,,8f1fbe41-034b-43eb-9585-edbb0aadb7ba,00:00:09.885,"[33.1, 38.4]",,,
Carry,RB Leipzig,Willi Orban,Left Center Back,8509.0,,4127d02c-6da9-47dc-b26f-40da7d121a92,00:00:09.885,"[33.1, 38.4]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Mohamed Simakan,585a8685-12a2-418f-91a6-4d2a02ad8430,00:00:12.373,"[36.0, 36.4]","[35.8, 60.1]",23.700844,
Ball Receipt*,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,54f1c83c-f7c4-4413-8a2a-69aaac9bec05,00:00:13.463,"[35.8, 60.1]",,,
Carry,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,50fa5c47-ce69-41d3-bf4a-29b4f86d02fd,00:00:13.463,"[35.8, 60.1]",,,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,93753357-15d4-4424-9899-669adf6f34ea,00:00:14.246,"[35.1, 60.1]","[48.4, 73.4]",18.80904,
Ball Receipt*,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06,00:00:15.509,"[48.4, 73.4]",,,
Carry,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,67f9bdbc-8feb-49b2-b7fe-705375aac0db,00:00:15.509,"[48.4, 73.4]",,,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Daniel Olmo Carvajal,86a2db30-3020-4a3a-af2f-3b1d59b73adc,00:00:17.808,"[58.0, 75.8]","[79.9, 53.9]",30.971277,
Ball Receipt*,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,da618d2e-27e6-47f5-ba91-a32d880fc3f3,00:00:18.959,"[79.9, 53.9]",,,
Carry,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,c6085c22-483f-4a4b-a3a7-27fbee22ae65,00:00:18.959,"[79.9, 53.9]",,,
Miscontrol,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,5ecff428-f7e5-4098-a070-003bae61d520,00:00:18.973,"[79.9, 51.7]",,,
Pass,RB Leipzig,Odilon Kossonou,Right Center Back,27133.0,Edmond Fayçal Tapsoba,a6f33202-5449-458f-8473-9c4274528e11,00:00:20.033,"[36.5, 29.6]","[35.1, 16.6]",13.075168,Incomplete
Ball Receipt*,RB Leipzig,Edmond Fayçal Tapsoba,Left Center Back,30606.0,,ce0cff7d-de0c-4e19-8496-2dd948d69413,00:00:21.691,"[34.7, 14.4]",,,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Daniel Olmo Carvajal,ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,00:00:21.691,"[85.0, 63.5]","[83.4, 46.2]",17.37383,
Ball Receipt*,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,9a40ee6a-81c2-48c1-b86d-7b611f1cbad9,00:00:22.592,"[83.4, 46.2]",,,
Carry,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,064b72e5-2907-4fec-ae0a-2108f5e8524f,00:00:22.592,"[83.4, 46.2]",,,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,David Raum,bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,00:00:23.488,"[84.0, 44.4]","[82.4, 21.3]",23.155344,
Ball Receipt*,RB Leipzig,David Raum,Left Back,12034.0,,24fa959e-ad78-4dfb-9cf7-ff352947271c,00:00:25.151,"[82.4, 21.3]",,,
Carry,RB Leipzig,David Raum,Left Back,12034.0,,03f103fa-f1fc-463e-87d9-cd3db62d4291,00:00:25.151,"[82.4, 21.3]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Ikoma Loïs Openda,da6d72e8-314a-4232-892f-7f2b7aa233da,00:00:25.482,"[83.0, 14.5]","[105.9, 16.5]",22.987171,
Ball Receipt*,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,87c20b3f-2fe3-4696-b387-5997a79262eb,00:00:27.623,"[105.9, 16.5]",,,
Carry,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,ce148b24-1185-48a7-bc22-d593e8115f3c,00:00:27.623,"[105.9, 16.5]",,,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,f2148745-955f-4ae6-99fc-7eea72344f5c,00:00:28.895,"[115.1, 13.3]","[115.3, 19.1]",5.8034472,Incomplete
Block,RB Leipzig,Odilon Kossonou,Right Center Back,27133.0,,914c3940-48b4-4246-bd08-2b34e8349649,00:00:29.075,"[4.8, 61.0]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Timo Werner,87666b3c-fae0-4ec8-a71d-c2d3be7beb84,00:00:46.278,"[113.5, 0.1]","[95.4, 5.3]",18.832153,
Ball Receipt*,RB Leipzig,Timo Werner,Left Midfield,5557.0,,351f7fc6-14b7-46ba-9fb9-04f41961ded3,00:00:47.726,"[95.4, 5.3]",,,
Carry,RB Leipzig,Timo Werner,Left Midfield,5557.0,,fdc51a4b-28c8-4fce-84e7-171fe7b1d4b6,00:00:47.726,"[95.4, 5.3]",,,
Pressure,RB Leipzig,Jeremie Frimpong,Right Wing Back,32712.0,,96bd8297-91b0-47fc-a7b2-2c433ec2e694,00:00:48.214,"[22.3, 73.6]",,,
